Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Workforce Gender Ratio
Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,88.4743610096841
Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,86.8417104276069
Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,89.7496667160421
Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,89.4508854631163
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,84.757937078006
Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,85.7064995230958
Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,90.384047267356
New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,86.9938321265755
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,87.1542629027659
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,82.7606901725431
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,85.469364811692
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,67.2279792746114
Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,87.6986462625074
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,83.8630431444803
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,85.3762492651381
Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,81.8049702078186
Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,82.9581034739824
Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,82.8958509737511
United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,82.7525878407931
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,77.0049577136191
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,55.7161207450225
Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,71.7762279269921
Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,58.0710918588355
France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,84.8693029490617
Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,70.5914418097574
Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,47.0035933696534
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,28.1796147467789
Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,59.772055719713
Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,82.1158690176322
Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,68.6780170255383
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,74.0954942837929
Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,75.7546783226335
